Parámetro,General,Octava 31.25Hz,Octava 62.5Hz,Octava 125Hz,Octava 250Hz,Octava 500Hz,Octava 1000Hz,Octava 2000Hz,Octava 4000Hz,Octava 8000Hz,Tercio 39Hz,Tercio 50Hz,Tercio 62Hz,Tercio 79Hz,Tercio 99Hz,Tercio 125Hz,Tercio 157Hz,Tercio 198Hz,Tercio 250Hz,Tercio 315Hz,Tercio 397Hz,Tercio 500Hz,Tercio 630Hz,Tercio 794Hz,Tercio 1000Hz,Tercio 1260Hz,Tercio 1587Hz,Tercio 2000Hz,Tercio 2520Hz,Tercio 3175Hz,Tercio 4000Hz,Tercio 5040Hz,Tercio 6350Hz,Tercio 8000Hz,Tercio 10079Hz,Tercio 12699Hz,Tercio 16000Hz
GENERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T60,2.19
EDT,1.35
C50,0.63
C80,2.37
D50,0.54
TERCIO DE OCTAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frecuencia,39 Hz,50 Hz,62 Hz,79 Hz,99 Hz,125 Hz,157 Hz,198 Hz,250 Hz,315 Hz,397 Hz,500 Hz,630 Hz,794 Hz,1000 Hz,1260 Hz,1587 Hz,2000 Hz,2520 Hz,3175 Hz,4000 Hz,5040 Hz,6350 Hz,8000 Hz,10079 Hz,12699 Hz,16000 Hz
T60,0.30,0.79,2.26,1.46,1.96,1.85,1.65,1.74,2.08,2.19,2.45,2.40,2.46,2.63,2.44,2.38,2.39,2.19,1.86,1.69,1.43,1.15,0.90,0.68,0.62,0.46,0.54
EDT,3.09,2.20,3.03,1.94,1.95,1.16,1.65,1.68,1.98,1.46,2.16,2.05,1.33,2.06,2.30,2.02,1.77,1.98,1.69,1.94,1.28,1.34,1.18,1.09,0.85,0.70,0.68
C50,-2.99,0.52,-3.65,-1.02,-4.56,3.24,1.42,2.22,-4.14,0.56,-4.15,-3.64,1.89,0.61,-0.84,-3.71,-2.20,-2.73,-2.50,-2.63,-2.51,-1.24,1.96,7.68,6.89,9.56,9.87
C80,-2.04,2.66,-1.61,1.26,-1.84,5.18,3.53,2.88,-1.72,3.56,-2.34,-2.47,3.64,2.23,1.07,-1.34,0.13,-0.23,-0.24,-0.36,0.05,1.83,4.82,10.40,10.68,13.95,14.29
D50,0.33,0.53,0.30,0.44,0.26,0.68,0.58,0.62,0.28,0.53,0.28,0.30,0.61,0.54,0.45,0.30,0.38,0.35,0.36,0.35,0.36,0.43,0.61,0.85,0.83,0.90,0.91
OCTAVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frecuencia,31.25 Hz,62.5 Hz,125 Hz,250 Hz,500 Hz,1000 Hz,2000 Hz,4000 Hz,8000 Hz
T60,0.65,1.60,1.84,2.18,2.44,2.50,2.25,1.50,0.92
EDT,1.61,1.60,1.30,1.46,1.88,2.23,2.11,1.61,0.89
C50,0.12,-0.31,2.01,-0.63,-1.30,0.46,-3.19,-2.32,5.96
C80,1.47,0.63,3.32,2.90,0.14,1.93,-0.50,0.22,8.50
D50,0.51,0.48,0.61,0.46,0.43,0.53,0.32,0.37,0.80
